date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:02	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%225a3ff338-19%22	http://demo.themefisher.com/robots.txt		(from )
13:14:03	48086/48086	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-bbd6%22	http://demo.themefisher.com/iamabdus/eden/	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/index.html	(from )
13:14:04	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-1d9ac%22	http://demo.themefisher.com/iamabdus/eden/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bootstrap/css/bootstrap.min.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:04	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-6b4a%22	http://demo.themefisher.com/iamabdus/eden/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/font-awesome/css/font-awesome.min.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:05	3836/3836	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-efc%22	http://demo.themefisher.com/iamabdus/eden/plugins/bx-slider/jquery.bxslider.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bx-slider/jquery.bxslider.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:05	2001/2001	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-7d1%22	http://demo.themefisher.com/iamabdus/eden/plugins/select-box/select.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/select-box/select.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:05	21183/21183	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-52bf%22	http://demo.themefisher.com/iamabdus/eden/plugins/bootstrap-datepicker-master/bootstrap-datepicker3.min.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bootstrap-datepicker-master/bootstrap-datepicker3.min.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:06	7806/7806	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-1e7e%22	http://demo.themefisher.com/iamabdus/eden/plugins/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/magnific-popup/magnific-popup.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:06	73697/73697	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-11fe1%22	http://demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/css/settings.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/css/settings.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:06	40112/40112	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-9cb0%22	http://demo.themefisher.com/iamabdus/eden/plugins/icomoon/style.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/icomoon/style.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:06	6857/6857	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-1ac9%22	http://demo.themefisher.com/iamabdus/eden/plugins/flexslider/flexslider.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/flexslider/flexslider.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:07	233/233	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-e9%22	http://demo.themefisher.com/iamabdus/eden/plugins/dropdown/css/navbar.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/dropdown/css/navbar.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:07	2139/2139	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-85b%22	http://demo.themefisher.com/iamabdus/eden/plugins/star-Rating/css/star-rating.min.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/star-Rating/css/star-rating.min.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:08	6610/6610	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-19d2%22	http://demo.themefisher.com/iamabdus/eden/css/colors/default.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/css/colors/default.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:08	122028/122028	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-1dcac%22	http://demo.themefisher.com/iamabdus/eden/css/style.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/css/style.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:08	72256/72256	---MCZ	200	added ('OK')	text/css	etag:W/%2259d4a160-11a40%22	http://demo.themefisher.com/iamabdus/eden/plugins/animate.css	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/animate.css	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:08	48086/48086	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-bbd6%22	http://demo.themefisher.com/iamabdus/eden/index.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/index-2.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:09	4697/4697	---M--	200	added ('OK')	image/png	etag:%2259d4a160-1259%22	http://demo.themefisher.com/iamabdus/eden/images/logo.png	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/logo.png	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:09	44073/44073	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-ac29%22	http://demo.themefisher.com/iamabdus/eden/rooms-grid-sidebar-right.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-grid-sidebar-right.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:09	44100/44100	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-ac44%22	http://demo.themefisher.com/iamabdus/eden/rooms-grid-sidebar-left.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-grid-sidebar-left.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:10	36946/36946	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-9052%22	http://demo.themefisher.com/iamabdus/eden/rooms-grid-3col.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-grid-3col.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:10	31052/31052	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-794c%22	http://demo.themefisher.com/iamabdus/eden/rooms-grid-4col.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-grid-4col.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:10	27711/27711	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-6c3f%22	http://demo.themefisher.com/iamabdus/eden/rooms-list-fullwidth.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-list-fullwidth.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:11	37113/37113	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-90f9%22	http://demo.themefisher.com/iamabdus/eden/rooms-list-sidebar-right.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-list-sidebar-right.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:11	35861/35861	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-8c15%22	http://demo.themefisher.com/iamabdus/eden/room-single-sidebar-right.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/room-single-sidebar-right.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:12	35883/35883	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-8c2b%22	http://demo.themefisher.com/iamabdus/eden/room-single-sidebar-left.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/room-single-sidebar-left.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:12	31565/31565	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-7b4d%22	http://demo.themefisher.com/iamabdus/eden/room-single-fullwidth.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/room-single-fullwidth.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:12	30732/30732	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-780c%22	http://demo.themefisher.com/iamabdus/eden/booking-step1.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/booking-step1.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:12	37134/37134	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-910e%22	http://demo.themefisher.com/iamabdus/eden/rooms-list-sidebar-left.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/rooms-list-sidebar-left.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:12	22247/22247	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-56e7%22	http://demo.themefisher.com/iamabdus/eden/booking-step2.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/booking-step2.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:13	24001/24001	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-5dc1%22	http://demo.themefisher.com/iamabdus/eden/booking-step3.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/booking-step3.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:13	18452/18452	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-4814%22	http://demo.themefisher.com/iamabdus/eden/booking-confirmation.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/booking-confirmation.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:13	22151/22151	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-5687%22	http://demo.themefisher.com/iamabdus/eden/about.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/about.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:14	24681/24681	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-6069%22	http://demo.themefisher.com/iamabdus/eden/gallery-4col.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/gallery-4col.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:14	20968/20968	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-51e8%22	http://demo.themefisher.com/iamabdus/eden/gallery-3col.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/gallery-3col.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:14	27812/27812	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-6ca4%22	http://demo.themefisher.com/iamabdus/eden/price-table.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/price-table.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:14	17290/17290	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-438a%22	http://demo.themefisher.com/iamabdus/eden/404-error.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/404-error.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:15	18583/18583	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-4897%22	http://demo.themefisher.com/iamabdus/eden/contact.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/contact.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:15	4680/4680	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-1248%22	http://demo.themefisher.com/iamabdus/eden/coming-soon-dark.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/coming-soon-dark.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:15	4767/4767	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-129f%22	http://demo.themefisher.com/iamabdus/eden/coming-soon-light.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/coming-soon-light.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:16	34626/34626	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-8742%22	http://demo.themefisher.com/iamabdus/eden/events-sidebar-right.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/events-sidebar-right.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:16	25531/25531	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-63bb%22	http://demo.themefisher.com/iamabdus/eden/events-3col.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/events-3col.html	(from http://demo.themefisher.com/iamabdus/eden/)
13:14:17	34647/34647	---MCZ	200	added ('OK')	text/html	etag:W/%2259d4a160-8757%22	http://demo.themefisher.com/iamabdus/eden/events-sidebar-left.html	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/events-sidebar-left.html	(from http://demo.themefisher.com/iamabdus/eden/)
